loc_rowid,pl_name,hostname,sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_age,st_vsin
1,11 Com b,11 Com,2,1,4874,13.76,2.09,-0.26,1.97823,,
2,11 Com b,11 Com,2,1,,,2.6,,,,
3,11 Com b,11 Com,2,1,4742,19,2.7,-0.35,2.243,,1.2
4,11 UMi b,11 UMi,1,1,,,1.7,,,,
5,11 UMi b,11 UMi,1,1,4340,24.08,1.8,0.04,,1.56,1.5
6,11 UMi b,11 UMi,1,1,4213,29.79,2.78,-0.02,,,
7,14 And b,14 And,1,1,4813,11,2.2,-0.24,1.763,,2.6
8,14 And b,14 And,1,1,4888,11.55,1.78,-0.21,1.83992,,
9,14 And b,14 And,1,1,,,1.2,,,,
10,14 Her b,14 Her,1,2,,,,,,,
11,14 Her b,14 Her,1,2,,,0.91,,,,
12,14 Her b,14 Her,1,2,5255,,0.9,0.51,-0.15,3.9,1
13,14 Her b,14 Her,1,2,,,0.9,,,,
14,14 Her b,14 Her,1,2,5338,0.93,0.9,0.41,,,
15,14 Her b,14 Her,1,2,5280,1.00235,0.91,0.4,-0.15273,,
16,14 Her b,14 Her,1,2,5314.94,0.995819,0.969205,0.4052,,,
17,14 Her b,14 Her,1,2,,,1,0.35,,,
18,16 Cyg B b,16 Cyg B,3,1,,,,,,,
19,16 Cyg B b,16 Cyg B,3,1,5747,1.12827,1.03,0.06,0.09729,,
20,16 Cyg B b,16 Cyg B,3,1,5711.97,1.159464,0.982996,0.0739,,,
21,16 Cyg B b,16 Cyg B,3,1,5760,,1,0.05,,,2.7
22,16 Cyg B b,16 Cyg B,3,1,5750,1.13,1.08,0.06,,,
23,16 Cyg B b,16 Cyg B,3,1,5674,,0.99,0.038,,,2.18
24,17 Sco b,17 Sco,1,1,4157,25.92,1.22,-0.01,2.25435,5.13,3.98
25,18 Del b,18 Del,2,1,,,2.1,,,,
26,18 Del b,18 Del,2,1,4980,8.8,2.1,-0.06,1.63367,,
27,18 Del b,18 Del,2,1,4979,8.5,2.3,-0.052,1.602,,
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,4060,,0.85,,-0.37,0.005,
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,3993,1.31316,0.623,,-0.40347,,
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,4060,1.352,0.85,,,0.005,
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,4060,,0.85,,-0.37,0.01,
32,24 Boo b,24 Boo,1,1,4816,12.19,1.05,-0.78,1.87691,,
33,24 Boo b,24 Boo,1,1,4893,10.64,0.99,-0.77,1.77415,6.92,3.36
34,24 Sex b,24 Sex,1,2,5098,4.9,1.54,-0.03,1.164,2.7,2.77
35,24 Sex c,24 Sex,1,2,5098,4.9,1.54,-0.03,1.164,2.7,2.77
36,2M0437 b,2MASS J04372171+2651014,1,1,3100,0.84,0.17,0.01,-1.16368,0.0025,22.54
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,,0.19,,,0.03,
38,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,3309,0.36645,0.353185,,-1.83849,,
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,3530,,0.4,,-1.72,0.12,
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,3064,0.281,0.108,,-2.23,0.035,6.5
41,2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,,,0.046,,-2.59,0.022,
42,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,,,,,,,
43,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,,0.019,,,0.001,
44,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,,,,,,,
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,,,,,,,
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2825,0.21887,0.188001,,-2.56086,,
47,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,,0.024,,,0.008,
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,,,0.48,,,,
49,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,29564,0.203,0.48,,,,
50,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,,,,,,,
51,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,4045,,0.6,,,0.12,
52,30 Ari B b,30 Ari B,4,1,6331,1.41,1.93,0.19,,,
53,30 Ari B b,30 Ari B,4,1,6300,1.13,1.16,0.245,,0.91,38.3
54,30 Ari B b,30 Ari B,4,1,,1.13,1.16,,,,
55,4 UMa b,4 UMa,1,1,4415,18.11,1.234,-0.25,,4.604,
56,4 UMa b,4 UMa,1,1,4415,18.11,1.234,-0.25,,4.604,
57,47 UMa b,47 UMa,1,3,5872,1.21334,1.06,0.04,0.1978,,
58,47 UMa b,47 UMa,1,3,,,,,,,
59,47 UMa b,47 UMa,1,3,5882,,1.063,0.04,,,2.8
60,47 UMa b,47 UMa,1,3,,,,,,,
61,47 UMa b,47 UMa,1,3,5829.16,1.136537,1.005192,0.0256,,,
