,hostname,st_teff,st_mass,st_rad,st_met,st_lum,st_age,st_vsin
0,11 UMi,4276.5,2.0933333333333333,26.935,0.04,-0.13412174868390936,1.56,1.5
1,14 And,4850.5,1.7266666666666666,11.275,-0.24,1.763,4.626927679362267,2.6
2,14 Her,5305.9625,0.9333158928571429,0.9859376666666668,0.4576,-0.1420608743419547,4.263463839681133,3.299207802547771
3,17 Sco,4157.0,1.22,25.92,-0.01,2.25435,5.13,3.98
4,1RXS J160929.1-210524,4043.25,0.79325,1.33258,-0.011613784696174044,-0.37,0.005,5.598415605095542
5,24 Boo,4854.5,1.02,11.415,-0.78,1.87691,6.92,3.36
6,24 Sex,5098.0,1.54,4.9,-0.03,1.164,2.7,2.77
7,2MASS J01225093-2439505,3419.5,0.3765925,0.36645,-0.011613784696174044,-1.83849,0.12,5.598415605095542
8,2MASS J02192210-3925225,3064.0,0.108,0.281,-0.011613784696174044,-2.23,0.035,6.5
9,2MASS J03590986+2009361,5415.146316594372,0.9374114862076482,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
10,2MASS J04372171+2651014,3100.0,0.17,0.84,0.01,-1.16368,0.0025,22.54
11,2MASS J04414489+2301513,5415.146316594372,0.019,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,0.001,5.598415605095542
12,2MASS J11011926-7732383,5415.146316594372,0.9374114862076482,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
13,2MASS J11550485-7919108,5415.146316594372,0.9374114862076482,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
14,2MASS J12073346-3932539,2825.0,0.1060005,0.21887,-0.011613784696174044,-2.56086,0.008,5.598415605095542
15,2MASS J21252752-8138278,5415.146316594372,0.9374114862076482,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
16,2MASS J22362452+4751425,4045.0,0.6,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,0.12,5.598415605095542
17,4 UMa,4415.0,1.234,18.11,-0.25,-0.13412174868390936,4.604,5.598415605095542
18,47 UMa,5854.071111111111,1.0359742222222224,1.1749385,0.04,0.1978,4.626927679362267,4.665610403397028
19,51 Peg,5763.920000000001,1.046432,1.2174513333333332,0.18,0.13631,10.0,2.2
20,6 Lyn,4952.333333333333,1.57,5.135,-0.17,1.1186,4.626927679362267,1.32
21,61 Vir,5579.856666666667,0.9326906666666667,0.98617,0.015,-0.09500000000000001,8.96,1.8999999999999997
22,7 CMa,4815.086666666666,1.41125,4.67655375,0.21,1.05779,4.3,3.3742078025477706
23,70 Vir,5498.372,1.0981100000000001,1.89798575,-0.012,0.4513,8.0,2.68
24,8 UMi,4847.2,1.62,10.100000000000001,-0.03,-0.13412174868390936,1.7,3.6
25,81 Cet,4759.5,1.7433333333333334,11.105,-0.11,1.76027,4.626927679362267,1.8
26,AB Aur,9770.0,2.4,1.5078594734632043,-0.011613784696174044,1.77085,0.003,5.598415605095542
27,AB Pic,5415.146316594372,0.9374114862076482,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,0.03,5.598415605095542
28,AF Lep,6123.333333333333,1.1769999999999998,1.25,0.19,-0.13412174868390936,0.024,50.0
29,AT2021ueyL,3680.0,0.49,1.5078594734632043,-0.011613784696174044,-0.13412174868390936,4.626927679362267,5.598415605095542
30,AU Mic,3674.775,0.5428125,0.7738613611111111,0.1475,-1.015965,0.019775,7.599603901273886
31,BD+03 2562,4095.0,1.14,32.35,-0.71,2.7,5.2,2.7
32,BD+14 4559,4936.0,0.675,0.905,0.1,-0.32,4.626927679362267,2.5
33,BD+15 2375,4649.0,1.08,8.95,-0.22,1.57,7.41,2.5
34,BD+15 2940,4796.0,1.1,14.7,0.28,2.01,7.1,2.3
35,BD+20 2457,4167.5,4.807499999999999,54.504999999999995,-0.895,3.17,4.626927679362267,2.5
36,BD+20 274,4296.0,0.8,17.3,-0.46,1.96,4.626927679362267,2.0
37,BD+20 594,5745.0,1.1982869999999999,0.9880406666666667,-0.06,-0.05552,3.34,3.3
